pattern1	pattern2	instance1	instance2	similarity scores	worker IDs
be useful in	make sense in	Data compression be useful in communications	Data compression make sense in communications	3 5 5 5 6	38 42 17 18 19
have a great influence on	have a major influence on	His life have a great influence on others	His life have a major influence on others	6 1 7 6 5	34 28 35 29 36
make the most of	schedule	students make the most of their university experience	students schedule their university experience	6 2 5 4 3	16 17 10 24 25
open in	take place in	This link open in a new window	This link take place in a new window	6 6 4 5 4	34 27 35 29 46
be made of	be crafted of	The gears be made of steel	The gears be crafted of steel	7 6 2 7 5	51 1 3 52 4
speak	dont speak	The staff speak English	The staff dont speak English	1 1 1 1 1	34 35 29 46 36
fit in with	complement	The logo fit in with the designs	The logo complement the designs	1 6 6 6 5	47 41 2 22 49
come across	discover	this guy come across the front of the stage	this guy discover the front of the stage	3 2 3 2 4	0 41 51 37 49
team with	wrestle	Palmer team with Jack Nicklaus	Palmer wrestle Jack Nicklaus	2 2 4 1 2	39 5 43 12 48
vote for	be opposed to	all those people vote for Barack Obama	all those people be opposed to Barack Obama	1 1 4 1 5	30 31 3 32 33
solve	analyze	the family solve their problem	the family analyze their problem	3 2 1 4 5	14 11 50 9 48
come from	be raised in	The Messiah come from the tribe of Judah	The Messiah be raised in the tribe of Judah	5 5 5 6 5	51 1 21 3 4
have many benefit for	do some form of	the partnership have many benefit for both companies	both companies do some form of the partnership	2 6 3 4 2	40 44 17 24 25
go on	return from	the band go on tour	the band return from tour	1 2 2 2 3	41 51 2 22 4
be set in	be situated in	The Mummy be set in Egypt	The Mummy be situated in Egypt	6 6 6 6 5	34 28 35 29 36
enlist on	graduate on	Both men enlist on board	Both men graduate on board	3 3 2 4 1	39 6 7 8 9
be enrolled for	be required to register for	A student be enrolled for less than six credits	A student be required to register for less than six credits	5 5 2 6 5	6 7 50 8 9
portray	appear as	the comparable properties portray the subject property	the comparable properties appear as the subject property	6 6 5 6 4	30 31 3 32 33
ensure	facilitate	these elements ensure your success	these elements facilitate your success	1 6 4 6 5	34 27 29 23 45
cut	rip	The surgeons cut my leg	The surgeons rip my leg	6 1 3 6 5	34 27 29 23 45
pay extra attention to	pay enough attention to	Companies pay extra attention to results	Companies pay enough attention to results	6 3 4 6 2	30 31 3 32 50
get a feel for	get a sense of	him get a feel for the game	him get a sense of the game	6 6 6 3 6	13 6 11 48 25
eat dinner with	have lunch with	Kelly eat dinner with her family	Kelly have lunch with her family	5 2 3 2 6	41 22 21 37 49
be displayed throughout	be seen all over	Posters be displayed throughout the workshop	Posters be seen all over the workshop	5 6 6 6 6	39 43 44 12 15
lash	make landfall on	Hurricane Rita lash western Louisiana and eastern Texas	Hurricane Rita make landfall on western Louisiana and eastern Texas	4 5 5 2 5	41 21 22 37 49
be the centre of	be a center for	the earth be the centre of the universe	the earth be a center for the universe	5 6 6 6 6	39 7 11 8 9
be the capital of	be the heart of	Hanoi be the capital of Vietnam	Hanoi be the heart of Vietnam	1 5 4 2 5	47 42 21 37 49
sell	create	Lyon sell the bush puppet	Lyon create the bush puppet	6 3 4 3 2	44 17 24 15 25
deny	fulfill	Defendants deny their actions	Defendants fulfill their actions	2 1 1 2 1	39 43 44 6 35
have a history of	have	America have a history of immigration	America have immigration	3 1 6 2 4	38 47 16 37 49
congratulate	commend	McCain congratulate the victor	McCain commend the victor	5 1 6 6 5	39 43 44 12 15
elaborate on	develop	The International Committee of the Red Cross elaborate on the Geneva Conventions	The International Committee of the Red Cross develop the Geneva Conventions	5 6 3 5 4	13 6 14 15 25
ruin	do wonder for	errors ruin your credit scores	errors do wonder for your credit scores	3 3 6 1 2	39 5 43 12 48
become aware of	be unaware of	our clients become aware of the connection	our clients be unaware of the connection	1 5 1 1 1	34 28 35 29 36
make for	promise to be	The result make for interesting reading	The result promise to be interesting reading	6 1 7 5 5	0 30 1 3 33
have several problem with	pack a lot into	Consumer have several problem with transmission	Consumer pack a lot into transmission	3 3 1 6 1	39 5 43 44 12
be employed at	be hired by	students be employed at the United Nations	students be hired by the United Nations	5 5 6 6 6	39 26 34 47 38
speak of	be fond of	Jesus speak of abiding	Jesus be fond of abiding	3 5 3 3 5	38 42 18 19 10
consider play	stop play	Jamie Foxx consider play Barack Obama	Jamie Foxx stop play Barack Obama	1 1 1 6 1	30 31 3 32 50
prefer	prefer to use	Shrubs prefer full sun	Shrubs prefer to use full sun	4 6 5 6 6	0 41 51 2 49
be fair to	be clear to	an agreement be fair to all parties	an agreement be clear to all parties	3 6 2 5 6	38 16 21 19 10
make off with	snatch	The thieves make off with TVs	The thieves snatch TVs	6 6 6 6 6	13 6 24 15 25
leave for	head for	her grandfather leave for England	her grandfather head for England	6 6 6 6 6	26 27 28 17 29
be available in	be available on	Forms be available in PDF format	Forms be available on PDF format	6 6 6 6 5	34 27 29 23 36
be interviewed by	give an interview to	Ann Coulter be interviewed by Matt Lauer	Ann Coulter give an interview to Matt Lauer	1 6 6 6 1	34 35 29 46 36
be the site for	be the official site for	The annual conference be the site for the Annual General Meeting	The annual conference be the official site for the Annual General Meeting	6 7 6 6 5	51 1 3 32 4
be the son of	be son of	Charles be the son of the founder	Charles be son of the founder	3 6 5 6 6	38 47 42 18 19
be impressed with	be pleased with	The producer be impressed with his work	The producer be pleased with his work	6 6 4 7 5	47 0 1 52 4
influence	play an important role in	the judge influence the outcome	the judge play an important role in the outcome	5 5 6 6 6	39 5 43 44 12
be free of	be riddled with	Internet Explorer be free of charge	Internet Explorer be riddled with charge	1 1 1 2 2	34 27 29 36 45
construct	personalize	The organization construct a Web site	The organization personalize a Web site	2 1 5 4 6	40 30 31 32 50
start use	start to use	CNN start use Twitter	CNN start to use Twitter	6 5 6 2 6	47 42 21 37 49
post on	post at	Interview post on November 17 , 2007	Interview post at November 17 , 2007	6 6 7 7 7	6 11 50 8 9
tease	whisper to	The guys tease their fans	The guys whisper to their fans	3 2 2 1 2	13 6 14 15 25
come to call	turn our back on	Jesus Christ come to call the righteous	Jesus Christ turn our back on the righteous	1 2 2 1 1	13 17 24 15 25
remain on	remain at	All traffic remain on your site	All traffic remain at your site	5 6 6 2 5	41 51 22 37 49
learn	earn	Participants learn the basic techniques	Participants earn the basic techniques	2 2 1 4 6	0 51 1 22 4
have dinner on	be tired on	Tom have dinner on the table	Tom be tired on the table	3 2 1 2 5	38 14 17 18 19
be to answer	be unable to answer	the Lord be to answer their request	the Lord be unable to answer their request	6 1 4 2 3	34 27 13 36 45
lay my hand on	take hold of	him lay my hand on his back	him take hold of his back	1 1 6 1 3	34 27 28 29 36
try to locate	hope to find	The owner try to locate the dog	The owner hope to find the dog	1 1 5 5 4	43 44 35 6 45
be increased in	be larger in	these tribes be increased in number	these tribes be larger in number	4 6 6 6 6	26 27 28 17 29
have thousand of	have a wide variety of	These list have thousand of names	These list have a wide variety of names	6 3 4 6 6	16 14 17 10 25
dismiss	confirm	the Trial Court dismiss his cause of action	the Trial Court confirm his cause of action	6 1 1 5 1	30 31 1 33 52
be told to have	make the decision to have	women be told to have a career	women make the decision to have a career	2 2 4 2 5	41 51 2 22 4
relate to	be mentioned above	The colors relate to the body	The colors be mentioned above the body	1 4 1 2 3	34 27 29 23 45
end for	conclude for	Classes end for the semester	Classes conclude for the semester	1 6 5 6 5	47 16 42 18 19
be contacted via	be contacted by	Users be contacted via e-mail	Users be contacted by e-mail	6 6 6 6 7	16 17 19 48 25
divide	restrict	Players divide their forces	Players restrict their forces	2 5 2 2 1	13 11 24 15 25
permit	be remanded in	The Supreme Court permit the defendant	the defendant be remanded in The Supreme Court	2 3 2 2 5	51 2 22 37 49
be important for	be important in	Links be important for your web pages	Links be important in your web pages	6 1 5 7 5	34 27 36 56 45
be right for	be the right one for	the patient be right for implants	the patient be the right one for implants	1 1 6 5 5	43 44 35 6 45
get word to	want to be like	Jr. get word to Washington	Jr. want to be like Washington	1 1 1 1 2	47 0 1 2 3
lay my hand on	see the shape of	him lay my hand on his back	him see the shape of his back	2 2 1 2 1	39 5 44 6 35
explain	examine	Vincent explain his case	Vincent examine his case	6 2 4 2 3	16 18 19 20 10
know the answer to	answer some of	Nobody know the answer to these questions	Nobody answer some of these questions	3 2 4 2 2	14 17 24 15 25
speak in	be a native speaker of	Spurzheim speak in Edinburgh	Spurzheim be a native speaker of Edinburgh	5 4 2 1 1	5 12 14 7 15
be concerned about	worry about	many companies be concerned about cash flow	many companies worry about cash flow	6 6 6 5 5	34 27 29 36 45
learn in	learn through	students learn in a problem-based curriculum	students learn through a problem-based curriculum	5 6 6 6 5	39 43 44 12 15
be last modified on	be dated	This page be last modified on 17 February 2008	This page be dated 17 February 2008	6 3 4 2 4	16 17 20 48 25
be the senior vice president of	have 15 year experience in	Jr. be the senior vice president of Operations	Jr. have 15 year experience in Operations	1 3 3 4 3	16 42 18 19 10
restart	reset	Johnny restart the job	Johnny reset the job	5 5 6 5 5	14 11 50 9 48
make prediction about	help define	Users make prediction about the future	Users help define the future	1 6 3 2 2	34 28 35 29 36
type	be prompted to enter	the user type their credentials	the user be prompted to enter their credentials	3 6 6 4 5	41 16 51 20 49
propose	be gracious to	EPA propose new procedures	EPA be gracious to new procedures	6 6 1 2 4	34 27 29 36 45
be experienced in	have extensive experience with	Happiness be experienced in romance	Happiness have extensive experience with romance	1 1 5 5 5	34 27 13 36 45
consist of	be comprised of	The first part consist of problems	The first part be comprised of problems	5 5 6 6 6	39 5 43 12 15
occur in	develop in	this type of malfunction occur in the future	this type of malfunction develop in the future	6 5 5 5 6	6 13 11 24 25
go on	set out on	Models go on auditions	Models set out on auditions	1 1 6 6 5	34 28 35 29 36
be an excerpt from	be the second part of	Table 1 be an excerpt from that report	Table 1 be the second part of that report	6 4 2 5 4	16 31 37 10 32
leave the house without	love wear	ladies leave the house without their gloves	ladies love wear their gloves	2 2 6 1 2	39 5 43 12 48
be open for	serve up	The lounge be open for lunch and dinner	The lounge serve up lunch and dinner	6 5 5 5 7	16 17 18 19 25
increase	be found to increase	Israel increase West Bank settlements	Israel be found to increase West Bank settlements	6 1 7 6 5	34 28 35 29 36
receive a copy of	need to sign	First-year students receive a copy of the book	First-year students need to sign the book	6 2 3 2 2	16 17 10 24 25
hate	get used to	That man hate his country	That man get used to his country	1 1 1 1 5	0 30 1 3 33
be the centre of	be the focus of	the earth be the centre of the universe	the earth be the focus of the universe	5 6 5 2 5	41 22 21 37 49
be accepted into	be admitted into	applicants be accepted into the University community	applicants be admitted into the University community	6 6 6 5 5	47 40 41 0 4
be grateful to	find out about	the editor be grateful to the DVD	the editor find out about the DVD	6 6 1 2 4	34 27 29 36 45
be better than	be the same as	no one be better than any other	no one be the same as any other	1 6 1 3 4	43 44 35 13 45
be open to	be free for	These meetings be open to the public	These meetings be free for the public	3 5 2 5 5	38 14 17 18 19
be a sad day for	be a great loss to	Yesterday be a sad day for this country	Yesterday be a great loss to this country	3 5 5 6 5	38 42 18 19 10
come from	be taken from	the Truth come from a book	the Truth be taken from a book	5 6 6 6 5	41 0 22 37 49
